nome,comune,capienza,latitudine,longitudine,attivo
Parcheggio viale XVI Aprile,Castel San Pietro Terme,115,"44,3951300000000","11,5879500000000",TRUE
Parcheggio dell'ospedale,Castel San Pietro Terme,40,"44,3985840000000","11,5933200000000",TRUE
Parcheggio cimitero Castel San Pietro Terme,Castel San Pietro Terme,55,"44,3928760000000","11,5851830000000",TRUE
Parcheggio piazza Tien An Men,Castel San Pietro Terme,22,"44,3932170000000","11,5798900000000",TRUE
Parcheggio lungo Sillaro,Castel San Pietro Terme,25,"44,3911200000000","11,5888360000000",TRUE
Parcheggio camper,Castel San Pietro Terme,13,"44,3977690000000","11,5932000000000",TRUE
Parcheggio,Castel San Pietro Terme,300,"44,3979560000000","11,5918820000000",TRUE
Parcheggio Gratuito,Castel San Pietro Terme,30,"44,3915480000000","11,5857220000000",TRUE
Parcheggio,Castel San Pietro Terme,100,"44,3942020000000","11,5958590000000",TRUE
Parcheggio,Castel San Pietro Terme,45,"44,4011160000000","11,5936080000000",TRUE
Parcheggio,Castel San Pietro Terme,30,"44,3995300000000","11,5763850000000",TRUE
Parcheggio,Castel San Pietro Terme,42,"44,3903850000000","11,5875700000000",TRUE
Parcheggio Toscanella Piazza Gramsci,Dozza,53,"44,3837505539671","11,6360968731590",TRUE
Parcheggio gratuito Imola,Imola,352,"44,3531500000000","11,7042500000000",TRUE
Parcheggio Autostazione Imola,Imola,169,"44,3576300000000","11,7160900000000",TRUE
Parcheggio Cavina Imola,Imola,34,"44,3510400000000","11,7115000000000",TRUE
Parcheggio gratuito Zoo Acquario Imola,Imola,161,"44,3589000000000","11,7129900000000",TRUE
Parcheggio piscina comunale,Imola,44,"44,3887860000000","11,5864450000000",TRUE
Parcheggio Centro Città,Imola,266,"44,3578371290956","11,7132885085282",TRUE
Parcheggio di piazzale ragazzi del '99,Imola,112,"44,3506080000000","11,7115090000000",TRUE
Parcheggio Scoperto,Imola,55,"44,3464808971786","11,7157076730678",TRUE
Parcheggio in Via Serraglio,Imola,50,"44,3591400000000","11,7203800000000",TRUE
Parcheggio mercato ortofrutticolo,Imola,212,"44,3513600000000","11,7106000000000",TRUE
Parcheggio Dozza,Dozza,55,"44,3599520000000","11,6327700000000",TRUE
Bus parking Dozza,Dozza,97,"44,3588700000000","11,6243000000000",TRUE